2023-12-18T18:11:27.670490+01:00 0x00002038         RoomsPlatformUtils: Process invoked without rooms flag, no platform ID override provided
2023-12-18T18:11:27.726753+01:00 0x00002038         TelemetryService: Sampling rules from previous session recovered
2023-12-18T18:11:27.726753+01:00 0x00002038         TelemetryService: InitOfficeDiagnosticLevel to OfficeDiagnosticLevel::Basic
2023-12-18T18:11:27.726753+01:00 0x00002038         BackgroundTaskBase: Registering msteamsupdate.exe as bgtask com server for task: TeamsTfwEcsTask
2023-12-18T18:11:27.726753+01:00 0x00002038         Scenario: shell_bgtask_comserverregistration [start,success] Scenario.Status:success, Scenario.Step:start, delta:0, elapsed:0, elapsedSinceProcessStart:293, eventpdclevel:1, sequence:0
2023-12-18T18:11:27.748721+01:00 0x000041c4         EcsBackgroundTask: Starting ecs background task
2023-12-18T18:11:27.748721+01:00 0x000041c4         Scenario: shell_ecs_refresh [start,success] Scenario.Status:success, Scenario.Step:start, delta:0, elapsed:0, elapsedSinceProcessStart:312, eventpdclevel:1, sequence:0
2023-12-18T18:11:27.775494+01:00 0x000041c4         Scenario: shell_peristent_storage_read [start,success] Scenario.Status:success, Scenario.Step:start, delta:0, elapsed:29, elapsedSinceProcessStart:341, eventpdclevel:1, sequence:0
2023-12-18T18:11:27.775494+01:00 0x000041c4         TelemetryService: Restored sampling rules from previous session
2023-12-18T18:11:27.775494+01:00 0x000041c4         Scenario: shell_peristent_storage_read [stop,success] InstanceId:84449aaf-da17-4188-a98c-c3adfcac8d22, Scenario.Mode:1, Scenario.Name:shell_peristent_storage_read, Scenario.Status:success, Scenario.Step:stop, delta:1, elapsed:30, elapsedSinceProcessStart:342, eventpdclevel:1, fileName:configuration.json, previousStep:start, sequence:1, stepDelta:1
2023-12-18T18:11:27.780511+01:00 0x000041c4         Scenario: shell_peristent_storage_read [start,success] Scenario.Status:success, Scenario.Step:start, delta:0, elapsed:40, elapsedSinceProcessStart:352, eventpdclevel:1, sequence:0
2023-12-18T18:11:27.780511+01:00 0x000041c4         Scenario: shell_peristent_storage_read [stop,abandoned] InstanceId:d80ede60-4332-4349-af57-30321b8a01de, Scenario.Mode:1, Scenario.Name:shell_peristent_storage_read, Scenario.Status:abandoned, Scenario.Step:stop, delta:0, elapsed:40, elapsedSinceProcessStart:352, error:no such file or directory, eventpdclevel:1, fileName:configuration.json, previousStep:start, sequence:1, stepDelta:0
2023-12-18T18:11:27.796220+01:00 0x000041c4         Scenario: shell_peristent_storage_read [start,success] Scenario.Status:success, Scenario.Step:start, delta:0, elapsed:47, elapsedSinceProcessStart:359, eventpdclevel:1, sequence:0
2023-12-18T18:11:27.796220+01:00 0x000041c4         Scenario: shell_peristent_storage_read [stop,success] InstanceId:4dc57901-59c5-4ea6-8a02-0224c2cc2cf5, Scenario.Mode:1, Scenario.Name:shell_peristent_storage_read, Scenario.Status:success, Scenario.Step:stop, delta:6, elapsed:53, elapsedSinceProcessStart:365, eventpdclevel:1, fileName:ecs_request_param.json, previousStep:start, sequence:1, stepDelta:6
2023-12-18T18:11:27.796220+01:00 0x000041c4         TelemetryService: No primary user detected during a SetUserTenantId Call, setting c371d4f5-b34f-4b06-9e66-517fed904220 as default tenant
2023-12-18T18:11:27.796220+01:00 0x000041c4         TelemetryService: No primary user detected during a SetUserId Call, setting 820f99c3-ec16-4aac-96a2-712ec1291601 as UserInfo_Id
2023-12-18T18:11:27.811873+01:00 0x000041c4         Scenario: shell_peristent_storage_read [start,success] Scenario.Status:success, Scenario.Step:start, delta:0, elapsed:64, elapsedSinceProcessStart:376, eventpdclevel:1, sequence:0
2023-12-18T18:11:27.811873+01:00 0x000041c4         Scenario: shell_peristent_storage_read [stop,abandoned] InstanceId:145f6599-2b17-4c9b-8aa7-4bd86799fea4, Scenario.Mode:1, Scenario.Name:shell_peristent_storage_read, Scenario.Status:abandoned, Scenario.Step:stop, delta:0, elapsed:64, elapsedSinceProcessStart:376, error:no such file or directory, eventpdclevel:1, fileName:configuration.json, previousStep:start, sequence:1, stepDelta:0
2023-12-18T18:11:27.811873+01:00 0x000041c4         Scenario: shell_peristent_storage_read [start,success] Scenario.Status:success, Scenario.Step:start, delta:0, elapsed:65, elapsedSinceProcessStart:377, eventpdclevel:1, sequence:0
2023-12-18T18:11:27.811873+01:00 0x000041c4         Scenario: shell_peristent_storage_read [stop,abandoned] InstanceId:3192fdbb-70c3-4e01-8f3e-2d35ca7a551c, Scenario.Mode:1, Scenario.Name:shell_peristent_storage_read, Scenario.Status:abandoned, Scenario.Step:stop, delta:0, elapsed:65, elapsedSinceProcessStart:377, error:no such file or directory, eventpdclevel:1, fileName:configuration.json, previousStep:start, sequence:1, stepDelta:0
2023-12-18T18:11:27.811873+01:00 0x000041c4         Scenario: shell_peristent_storage_read [start,success] Scenario.Status:success, Scenario.Step:start, delta:0, elapsed:65, elapsedSinceProcessStart:377, eventpdclevel:1, sequence:0
2023-12-18T18:11:27.814490+01:00 0x000041c4         Scenario: shell_peristent_storage_read [stop,abandoned] InstanceId:a7fc7b1f-a399-4328-bbbe-f57f53387323, Scenario.Mode:1, Scenario.Name:shell_peristent_storage_read, Scenario.Status:abandoned, Scenario.Step:stop, delta:0, elapsed:65, elapsedSinceProcessStart:377, error:no such file or directory, eventpdclevel:1, fileName:configuration.json, previousStep:start, sequence:1, stepDelta:0
2023-12-18T18:11:27.814490+01:00 0x000041c4         Scenario: shell_peristent_storage_read [start,success] Scenario.Status:success, Scenario.Step:start, delta:0, elapsed:65, elapsedSinceProcessStart:377, eventpdclevel:1, sequence:0
2023-12-18T18:11:27.814490+01:00 0x000041c4         Scenario: shell_peristent_storage_read [stop,abandoned] InstanceId:4bb7752d-215e-484b-87f2-e3eccd3e1ed1, Scenario.Mode:1, Scenario.Name:shell_peristent_storage_read, Scenario.Status:abandoned, Scenario.Step:stop, delta:0, elapsed:65, elapsedSinceProcessStart:377, error:no such file or directory, eventpdclevel:1, fileName:configuration.json, previousStep:start, sequence:1, stepDelta:0
2023-12-18T18:11:27.814490+01:00 0x000041c4         Scenario: shell_peristent_storage_read [start,success] Scenario.Status:success, Scenario.Step:start, delta:0, elapsed:65, elapsedSinceProcessStart:377, eventpdclevel:1, sequence:0
2023-12-18T18:11:27.814490+01:00 0x000041c4         Scenario: shell_peristent_storage_read [stop,abandoned] InstanceId:221099de-975f-4280-83c0-1ac250c03934, Scenario.Mode:1, Scenario.Name:shell_peristent_storage_read, Scenario.Status:abandoned, Scenario.Step:stop, delta:0, elapsed:65, elapsedSinceProcessStart:377, error:no such file or directory, eventpdclevel:1, fileName:configuration.json, previousStep:start, sequence:1, stepDelta:0
2023-12-18T18:11:27.814490+01:00 0x000041c4         Scenario: shell_peristent_storage_read [start,success] Scenario.Status:success, Scenario.Step:start, delta:0, elapsed:65, elapsedSinceProcessStart:377, eventpdclevel:1, sequence:0
2023-12-18T18:11:27.814490+01:00 0x000041c4         Scenario: shell_peristent_storage_read [stop,abandoned] InstanceId:39a93c09-3273-4eae-9861-9894cfabf090, Scenario.Mode:1, Scenario.Name:shell_peristent_storage_read, Scenario.Status:abandoned, Scenario.Step:stop, delta:0, elapsed:65, elapsedSinceProcessStart:377, error:no such file or directory, eventpdclevel:1, fileName:configuration.json, previousStep:start, sequence:1, stepDelta:0
2023-12-18T18:11:27.814490+01:00 0x000041c4         Scenario: shell_peristent_storage_read [start,success] Scenario.Status:success, Scenario.Step:start, delta:0, elapsed:65, elapsedSinceProcessStart:377, eventpdclevel:1, sequence:0
2023-12-18T18:11:27.815024+01:00 0x000041c4         Scenario: shell_peristent_storage_read [stop,abandoned] InstanceId:12e296aa-faed-4e41-81d6-503d0be09918, Scenario.Mode:1, Scenario.Name:shell_peristent_storage_read, Scenario.Status:abandoned, Scenario.Step:stop, delta:1, elapsed:66, elapsedSinceProcessStart:378, error:no such file or directory, eventpdclevel:1, fileName:configuration.json, previousStep:start, sequence:1, stepDelta:1
2023-12-18T18:11:27.825174+01:00 0x000041c4         Scenario: shell_ecs_cache [start,success] Scenario.Status:success, Scenario.Step:start, delta:0, elapsed:78, elapsedSinceProcessStart:390, eventpdclevel:1, sequence:0
