_c0,signal_std,signal_rad,pluie,baseline_std,baseline_rad,pluvio_db_std,pluvio_db_rad
2023-02-07 08:46:00,-17.5,-26.32,0.0,-17.5,-26.32,0.0,0.0
2023-02-07 08:47:00,-17.51,-26.33,0.0,-17.51,-26.33,0.0,0.0
2023-02-07 08:48:00,-17.52,-26.32,0.0,-17.52,-26.32,0.0,0.0
2023-02-07 08:49:00,-17.53,-26.35,0.0,-17.53,-26.35,0.0,0.0
2023-02-07 08:50:00,-17.51,-26.35,0.0,-17.51,-26.35,0.0,0.0
2023-02-07 08:51:00,-17.55,-26.35,0.0,-17.55,-26.35,0.0,0.0
2023-02-07 08:52:00,-17.52,-26.35,0.0,-17.52,-26.35,0.0,0.0
2023-02-07 08:53:00,-17.46,-26.32,0.0,-17.46,-26.32,0.0,0.0
2023-02-07 08:54:00,-17.48,-26.33,0.0,-17.48,-26.33,0.0,0.0
2023-02-07 08:55:00,-17.52,-26.34,0.0,-17.52,-26.34,0.0,0.0
2023-02-07 08:56:00,-17.5,-26.33,0.0,-17.5,-26.33,0.0,0.0
2023-02-07 08:57:00,-17.48,-26.33,0.0,-17.48,-26.33,0.0,0.0
2023-02-07 08:58:00,-17.52,-26.33,0.0,-17.52,-26.33,0.0,0.0
2023-02-07 08:59:00,-17.52,-26.34,0.0,-17.52,-26.34,0.0,0.0
2023-02-07 09:00:00,-17.54,-26.35,0.0,-17.54,-26.35,0.0,0.0
2023-02-07 09:01:00,-17.45,-26.34,0.0,-17.45,-26.34,0.0,0.0
2023-02-07 09:02:00,-17.49,-26.34,0.0,-17.49,-26.34,0.0,0.0
2023-02-07 09:03:00,-17.48,-26.36,0.0,-17.48,-26.36,0.0,0.0
2023-02-07 09:04:00,-17.48,-26.34,0.0,-17.48,-26.34,0.0,0.0
2023-02-07 09:05:00,-17.47,-26.35,0.0,-17.47,-26.35,0.0,0.0
2023-02-07 09:06:00,-17.51,-26.35,0.0,-17.51,-26.35,0.0,0.0
2023-02-07 09:07:00,-17.48,-26.35,0.0,-17.48,-26.35,0.0,0.0
2023-02-07 09:08:00,-17.5,-26.36,0.0,-17.5,-26.36,0.0,0.0
2023-02-07 09:09:00,-17.45,-26.37,0.0,-17.45,-26.37,0.0,0.0
2023-02-07 09:10:00,-17.47,-26.35,0.0,-17.47,-26.35,0.0,0.0
2023-02-07 09:11:00,-17.47,-26.36,0.0,-17.47,-26.36,0.0,0.0
2023-02-07 09:12:00,-17.54,-26.37,0.0,-17.54,-26.37,0.0,0.0
2023-02-07 09:13:00,-17.46,-26.37,0.0,-17.46,-26.37,0.0,0.0
2023-02-07 09:14:00,-17.49,-26.37,0.0,-17.49,-26.37,0.0,0.0
2023-02-07 09:15:00,-17.53,-26.38,0.0,-17.53,-26.38,0.0,0.0
2023-02-07 09:16:00,-17.48,-26.38,0.0,-17.48,-26.38,0.0,0.0
2023-02-07 09:17:00,-17.5,-26.37,0.0,-17.5,-26.37,0.0,0.0
2023-02-07 09:18:00,-17.48,-26.38,0.0,-17.48,-26.38,0.0,0.0
2023-02-07 09:19:00,-17.51,-26.37,0.0,-17.51,-26.37,0.0,0.0
2023-02-07 09:20:00,-17.46,-26.37,0.0,-17.46,-26.37,0.0,0.0
2023-02-07 09:21:00,-17.49,-26.39,0.0,-17.49,-26.39,0.0,0.0
2023-02-07 09:22:00,-17.42,-26.35,0.0,-17.42,-26.35,0.0,0.0
2023-02-07 09:23:00,-17.52,-26.36,0.0,-17.52,-26.36,0.0,0.0
2023-02-07 09:24:00,-17.42,-26.35,0.0,-17.42,-26.35,0.0,0.0
2023-02-07 09:25:00,-17.39,-26.35,0.0,-17.39,-26.35,0.0,0.0
2023-02-07 09:26:00,-17.44,-26.36,0.0,-17.44,-26.36,0.0,0.0
2023-02-07 09:27:00,-17.47,-26.36,0.0,-17.47,-26.36,0.0,0.0
2023-02-07 09:28:00,-17.45,-26.35,0.0,-17.45,-26.35,0.0,0.0
2023-02-07 09:29:00,-17.39,-26.36,0.0,-17.39,-26.36,0.0,0.0
2023-02-07 09:30:00,-17.42,-26.37,0.0,-17.42,-26.37,0.0,0.0
2023-02-07 09:31:00,-17.41,-26.36,0.0,-17.41,-26.36,0.0,0.0
2023-02-07 09:32:00,-17.41,-26.36,0.0,-17.41,-26.36,0.0,0.0
2023-02-07 09:33:00,-17.42,-26.37,0.0,-17.42,-26.37,0.0,0.0
2023-02-07 09:34:00,-17.44,-26.36,0.0,-17.44,-26.36,0.0,0.0
2023-02-07 09:35:00,-17.37,-26.39,0.0,-17.37,-26.39,0.0,0.0
2023-02-07 09:36:00,-17.45,-26.4,0.0,-17.45,-26.4,0.0,0.0
2023-02-07 09:37:00,-17.46,-26.37,0.0,-17.46,-26.37,0.0,0.0
2023-02-07 09:38:00,-17.5,-26.38,0.0,-17.5,-26.38,0.0,0.0
2023-02-07 09:39:00,-17.51,-26.41,0.0,-17.51,-26.41,0.0,0.0
2023-02-07 09:40:00,-17.49,-26.39,0.0,-17.49,-26.39,0.0,0.0
2023-02-07 09:41:00,-17.6,-26.4,0.0,-17.6,-26.4,0.0,0.0
