_c0,signal_std,signal_rad,pluie,baseline_std,baseline_rad,pluvio_db_std,pluvio_db_rad
2023-02-10 06:13:00,-17.16,-25.82,0.0,-17.16,-25.82,0.0,0.0
2023-02-10 06:14:00,-17.21,-25.82,0.0,-17.21,-25.82,0.0,0.0
2023-02-10 06:15:00,-17.2,-25.83,0.0,-17.2,-25.83,0.0,0.0
2023-02-10 06:16:00,-17.19,-25.81,0.0,-17.19,-25.81,0.0,0.0
2023-02-10 06:17:00,-17.17,-25.84,0.0,-17.17,-25.84,0.0,0.0
2023-02-10 06:18:00,-17.2,-25.84,0.0,-17.2,-25.84,0.0,0.0
2023-02-10 06:19:00,-17.19,-25.82,0.0,-17.19,-25.82,0.0,0.0
2023-02-10 06:20:00,-17.18,-25.82,0.0,-17.18,-25.82,0.0,0.0
2023-02-10 06:21:00,-17.23,-25.83,0.0,-17.23,-25.83,0.0,0.0
2023-02-10 06:22:00,-17.16,-25.84,0.0,-17.16,-25.84,0.0,0.0
2023-02-10 06:23:00,-17.18,-25.82,0.0,-17.18,-25.82,0.0,0.0
2023-02-10 06:24:00,-17.18,-25.85,0.0,-17.18,-25.85,0.0,0.0
2023-02-10 06:25:00,-17.13,-25.84,0.0,-17.13,-25.84,0.0,0.0
2023-02-10 06:26:00,-17.18,-25.85,0.0,-17.18,-25.85,0.0,0.0
2023-02-10 06:27:00,-17.22,-25.84,0.0,-17.22,-25.84,0.0,0.0
2023-02-10 06:28:00,-17.2,-25.82,0.0,-17.2,-25.82,0.0,0.0
2023-02-10 06:29:00,-17.14,-25.84,0.0,-17.14,-25.84,0.0,0.0
2023-02-10 06:30:00,-17.19,-25.83,0.0,-17.19,-25.83,0.0,0.0
2023-02-10 06:31:00,-17.19,-25.83,0.0,-17.19,-25.83,0.0,0.0
2023-02-10 06:32:00,-17.15,-25.83,0.0,-17.15,-25.83,0.0,0.0
2023-02-10 06:33:00,-17.21,-25.85,0.0,-17.21,-25.85,0.0,0.0
2023-02-10 06:34:00,-17.21,-25.84,0.0,-17.21,-25.84,0.0,0.0
2023-02-10 06:35:00,-17.17,-25.83,0.0,-17.17,-25.83,0.0,0.0
2023-02-10 06:36:00,-17.21,-25.85,0.0,-17.21,-25.85,0.0,0.0
2023-02-10 06:37:00,-17.2,-25.83,0.0,-17.2,-25.83,0.0,0.0
2023-02-10 06:38:00,-17.19,-25.85,0.0,-17.19,-25.85,0.0,0.0
2023-02-10 06:39:00,-17.18,-25.85,0.0,-17.18,-25.85,0.0,0.0
2023-02-10 06:40:00,-17.2,-25.82,0.0,-17.2,-25.82,0.0,0.0
