_c0,signal_std,signal_rad,pluie,baseline_std,baseline_rad,pluvio_db_std,pluvio_db_rad
2023-02-27 01:00:00,-17.11,-25.99,0.0,-17.11,-25.99,0.0,0.0
2023-02-27 01:01:00,-17.09,-26.01,0.0,-17.09,-26.01,0.0,0.0
2023-02-27 01:02:00,-17.12,-26.01,0.0,-17.12,-26.01,0.0,0.0
2023-02-27 01:03:00,-17.12,-25.97,0.0,-17.12,-25.97,0.0,0.0
2023-02-27 01:04:00,-17.12,-25.99,0.0,-17.12,-25.99,0.0,0.0
2023-02-27 01:05:00,-17.08,-26.0,0.0,-17.08,-26.0,0.0,0.0
2023-02-27 01:06:00,-17.1,-25.99,0.0,-17.1,-25.99,0.0,0.0
2023-02-27 01:07:00,-17.07,-26.01,0.0,-17.07,-26.01,0.0,0.0
2023-02-27 01:08:00,-17.05,-26.0,0.0,-17.05,-26.0,0.0,0.0
2023-02-27 01:09:00,-17.14,-26.0,0.0,-17.14,-26.0,0.0,0.0
2023-02-27 01:10:00,-17.14,-25.99,0.0,-17.14,-25.99,0.0,0.0
2023-02-27 01:11:00,-17.07,-26.0,0.0,-17.07,-26.0,0.0,0.0
2023-02-27 01:12:00,,,0.0,-17.095001,-26.0,,
2023-02-27 01:13:00,-17.12,-26.0,0.0,-17.12,-26.0,0.0,0.0
2023-02-27 01:14:00,-17.08,-26.01,0.0,-17.08,-26.01,0.0,0.0
2023-02-27 01:15:00,-17.08,-25.98,0.0,-17.08,-25.98,0.0,0.0
2023-02-27 01:16:00,-17.07,-26.0,0.0,-17.07,-26.0,0.0,0.0
2023-02-27 01:17:00,-17.07,-26.01,0.0,-17.07,-26.01,0.0,0.0
2023-02-27 01:18:00,-17.12,-26.01,0.0,-17.12,-26.01,0.0,0.0
2023-02-27 01:19:00,-17.11,-25.99,0.0,-17.11,-25.99,0.0,0.0
2023-02-27 01:20:00,-17.08,-25.98,0.0,-17.08,-25.98,0.0,0.0
2023-02-27 01:21:00,-17.04,-25.99,0.0,-17.04,-25.99,0.0,0.0
2023-02-27 01:22:00,-17.15,-26.0,0.0,-17.15,-26.0,0.0,0.0
2023-02-27 01:23:00,-17.09,-26.01,0.0,-17.09,-26.01,0.0,0.0
2023-02-27 01:24:00,-17.11,-26.01,0.0,-17.11,-26.01,0.0,0.0
2023-02-27 01:25:00,-17.1,-26.02,0.0,-17.1,-26.02,0.0,0.0
2023-02-27 01:26:00,-17.11,-26.0,0.0,-17.11,-26.0,0.0,0.0
2023-02-27 01:27:00,-17.13,-26.0,0.0,-17.13,-26.0,0.0,0.0
2023-02-27 01:28:00,-17.1,-26.02,0.0,-17.1,-26.02,0.0,0.0
2023-02-27 01:29:00,-17.09,-26.0,0.0,-17.09,-26.0,0.0,0.0
2023-02-27 01:30:00,-17.08,-26.01,0.0,-17.08,-26.01,0.0,0.0
2023-02-27 01:31:00,-17.11,-26.0,0.0,-17.11,-26.0,0.0,0.0
