_c0,signal_std,signal_rad,pluie,baseline_std,baseline_rad,pluvio_db_std,pluvio_db_rad
2023-02-28 20:26:00,-17.15,-26.11,0.0,-17.15,-26.11,0.0,0.0
2023-02-28 20:27:00,-17.11,-26.13,0.0,-17.11,-26.13,0.0,0.0
2023-02-28 20:28:00,-17.17,-26.11,0.0,-17.17,-26.11,0.0,0.0
2023-02-28 20:29:00,-17.22,-26.11,0.0,-17.22,-26.11,0.0,0.0
2023-02-28 20:30:00,-17.12,-26.12,0.0,-17.12,-26.12,0.0,0.0
2023-02-28 20:31:00,-17.13,-26.1,0.0,-17.13,-26.1,0.0,0.0
2023-02-28 20:32:00,-17.06,-26.1,0.0,-17.06,-26.1,0.0,0.0
2023-02-28 20:33:00,-17.15,-26.12,0.0,-17.15,-26.12,0.0,0.0
2023-02-28 20:34:00,-17.2,-26.12,0.0,-17.2,-26.12,0.0,0.0
2023-02-28 20:35:00,-17.17,-26.09,0.0,-17.17,-26.09,0.0,0.0
2023-02-28 20:36:00,-17.1,-26.1,0.0,-17.1,-26.1,0.0,0.0
2023-02-28 20:37:00,-17.14,-26.1,0.0,-17.14,-26.1,0.0,0.0
2023-02-28 20:38:00,-17.18,-26.09,0.0,-17.18,-26.09,0.0,0.0
2023-02-28 20:39:00,-17.14,-26.09,0.0,-17.14,-26.09,0.0,0.0
2023-02-28 20:40:00,-17.15,-26.08,0.0,-17.15,-26.08,0.0,0.0
2023-02-28 20:41:00,-17.1,-26.09,0.0,-17.1,-26.09,0.0,0.0
2023-02-28 20:42:00,,,0.0,-17.075,-26.08,,
2023-02-28 20:43:00,,,0.0,-17.05,-26.07,,
2023-02-28 20:44:00,,,0.0,-17.025,-26.06,,
2023-02-28 20:45:00,-17.0,-26.05,0.0,-17.0,-26.05,0.0,0.0
2023-02-28 20:46:00,-17.19,-26.09,0.0,-17.19,-26.09,0.0,0.0
2023-02-28 20:47:00,-17.21,-26.08,0.0,-17.21,-26.08,0.0,0.0
2023-02-28 20:48:00,-17.07,-26.07,0.0,-17.07,-26.07,0.0,0.0
2023-02-28 20:49:00,-17.11,-26.07,0.0,-17.11,-26.07,0.0,0.0
2023-02-28 20:50:00,-17.21,-26.08,0.0,-17.21,-26.08,0.0,0.0
2023-02-28 20:51:00,-17.13,-26.11,0.0,-17.13,-26.11,0.0,0.0
2023-02-28 20:52:00,-17.16,-26.1,0.0,-17.16,-26.1,0.0,0.0
